Symbol,Date,Expiry,Option Type,Strike Price,Open,High,Low,Close,LTP,Settle Price,No. of contracts,Turnover in Lacs,Premium Turnover in Lacs,Open Int,Change in OI,futures_price
HDFCBANK,22-Nov-17,30-Nov-17,PE,1380,0,0,0,0.05,0,0,0,0,0,0,0,1853.1
HDFCBANK,22-Nov-17,30-Nov-17,PE,2060,0,0,0,254.35,0,201.95,0,0,0,0,0,1853.1
HDFCBANK,22-Nov-17,30-Nov-17,PE,1420,0,0,0,0.05,0,0,0,0,0,0,0,1853.1
HDFCBANK,22-Nov-17,30-Nov-17,PE,1440,0,0,0,0.1,0,0,0,0,0,0,0,1853.1
HDFCBANK,22-Nov-17,30-Nov-17,PE,1460,0,0,0,0.15,0,0,0,0,0,0,0,1853.1
HDFCBANK,22-Nov-17,30-Nov-17,PE,1480,0,0,0,0.25,0,0,0,0,0,0,0,1853.1
HDFCBANK,22-Nov-17,30-Nov-17,PE,1500,0,0,0,0.4,0,0,0,0,0,0,0,1853.1
HDFCBANK,22-Nov-17,30-Nov-17,PE,1520,0,0,0,0.65,0,0,0,0,0,0,0,1853.1
HDFCBANK,22-Nov-17,30-Nov-17,PE,1540,0,0,0,1.05,0,0,0,0,0,0,0,1853.1
HDFCBANK,22-Nov-17,30-Nov-17,PE,1560,0,0,0,1.6,0,0,0,0,0,0,0,1853.1
HDFCBANK,22-Nov-17,30-Nov-17,PE,1580,0,0,0,2.45,0,0,0,0,0,0,0,1853.1
HDFCBANK,22-Nov-17,30-Nov-17,PE,1600,0,0,0,0.5,0.5,0,0,0,0,11500,0,1853.1
HDFCBANK,22-Nov-17,30-Nov-17,PE,1620,0,0,0,2,2,0,0,0,0,12000,0,1853.1
HDFCBANK,22-Nov-17,30-Nov-17,PE,1640,0,0,0,3.2,3.2,0,0,0,0,4500,0,1853.1
HDFCBANK,22-Nov-17,30-Nov-17,PE,1660,0.5,0.5,0.5,0.5,0.5,0.5,2,16.61,0.01,18000,-1000,1853.1
HDFCBANK,22-Nov-17,30-Nov-17,PE,1680,0,0,0,1.25,1.25,0,0,0,0,3500,0,1853.1
HDFCBANK,22-Nov-17,30-Nov-17,PE,1700,0,0,0,0.5,0.5,0,0,0,0,53000,0,1853.1
HDFCBANK,22-Nov-17,30-Nov-17,PE,1720,0.4,0.4,0.25,0.25,0.25,0.25,4,34.41,0.01,25000,-500,1853.1
HDFCBANK,22-Nov-17,30-Nov-17,PE,1740,0.8,1.25,0.55,1.25,1.25,1.25,8,69.63,0.03,91500,-500,1853.1
HDFCBANK,22-Nov-17,30-Nov-17,PE,1760,1,1.1,1,1.05,1.05,1.05,25,220.13,0.13,118500,-4500,1853.1
HDFCBANK,22-Nov-17,30-Nov-17,PE,1780,2.55,2.55,1.4,1.8,1.4,1.8,85,757.35,0.85,130500,1000,1853.1
HDFCBANK,22-Nov-17,30-Nov-17,PE,1800,4.55,4.9,2.5,2.9,2.5,2.9,493,4444.73,7.73,229500,-74000,1853.1
HDFCBANK,22-Nov-17,30-Nov-17,PE,1820,7.7,7.9,4.4,5.15,4.65,5.15,324,2957.28,8.88,142000,0,1853.1
HDFCBANK,22-Nov-17,30-Nov-17,PE,1840,14,14.6,8.4,10.5,9.15,10.5,613,5671.66,32.06,162500,23500,1853.1
HDFCBANK,22-Nov-17,30-Nov-17,PE,1860,24,24,16,18.55,17.55,18.55,162,1522.02,15.42,53500,11500,1853.1
HDFCBANK,22-Nov-17,30-Nov-17,PE,1880,0,0,0,54.55,54.55,30.3,0,0,0,33500,0,1853.1
HDFCBANK,22-Nov-17,30-Nov-17,PE,1900,49,50,49,50,50,50,2,19.5,0.5,11500,-1000,1853.1
HDFCBANK,22-Nov-17,30-Nov-17,PE,1920,0,0,0,131.25,0,63.55,0,0,0,0,0,1853.1
HDFCBANK,22-Nov-17,30-Nov-17,PE,1940,0,0,0,141,141,82.6,0,0,0,4000,0,1853.1
HDFCBANK,22-Nov-17,30-Nov-17,PE,1960,0,0,0,164,0,102.2,0,0,0,0,0,1853.1
HDFCBANK,22-Nov-17,30-Nov-17,PE,1980,0,0,0,181.25,0,122.1,0,0,0,0,0,1853.1
HDFCBANK,22-Nov-17,30-Nov-17,PE,2000,0,0,0,140,140,142.05,0,0,0,500,0,1853.1
HDFCBANK,22-Nov-17,30-Nov-17,PE,2020,0,0,0,217.15,0,162,0,0,0,0,0,1853.1
HDFCBANK,22-Nov-17,30-Nov-17,PE,2040,0,0,0,235.6,0,181.95,0,0,0,0,0,1853.1
HDFCBANK,22-Nov-17,30-Nov-17,PE,1400,0,0,0,0.05,0,0,0,0,0,0,0,1853.1
HDFCBANK,23-Nov-17,30-Nov-17,CE,1380,0,0,0,417.9,0,464.5,0,0,0,0,0,1847
